id,clue,answer
830,First name of the creator of Veruca Salt and Augustus Gloop,roald
831,Spare part (wordplay),rib
832,He that ___ and runs... ,fights
833,Avengers,means
834,Them classic,Gloria
835,Cowpoke's concern,steer
836,Wheat,spelt
837,Grain in beer,malt
838,Georgian greeting,hiyall
839,Putting your foot down for what's still in glass,heeltap
840,Fabric ,scrim
841,Survivalist's structure,bomb shelter
842,The Natural protagonist Hobbs,Roy
843,Turns rapidly: Scot.,tirls
844,De Tocqueville who wrote 'Democracy in America',alexis
845,"Hacker, but not on a computer",axe
846,Those fast wild types produced The Chase,cheetahs
847,Perfect toss of sorts,spiral
848,Half a court game,Jai
849,Kind of model,fashion
850,In need of scratching,itchy
851,Core ,root
852,"Greater than 90, as an angle",obtuse
853,D.C. hours,est
854,What is ___ matter with you (wordplay),the
855,Struck by Cupid's dart (wordplay),smitten
856,Level and avenging (wordplay),even score
857,Egg cream ingredient,club soda
858,Award for valour,medal
859,What a setting sun dips below,horizon
860,Strictly theatre.,leg it
861,___ in (retired). ,turned
862,Is properly placed,belongs
863,Correlated,akin
864,World's fair,expo
865,Keeps clear of.,shuns
866,Trapped,in a hole
867,Wood smoothers ,sanders
868,One who seeks further qualifications by correspondence course (wordplay),post graduate
869,Teens' state,ACNED
870,Artificial spread,Oleo
871,Tells fortunes from wine dregs (wordplay),port ends
872,Extension of a ship's keel.,skeg
873,Federal Reserve Notes,cash
874,Early Atari offering,pong
875,Ma who starred (wordplay),Rilyn Monroe
876,Revealing suits,speedos
877,Record of a rise to fame or riches,success story
878,Bounce,dribble
879,It may take a beating,breast
880,Tanning nos,spfs
881,Tool works without resistance,pliers
882,He slew Tybalt in a duel. ,romeo
883,Dear Sir or ...,madam
884,Cattle in a panic,stampeders
885,Woods catches half of tees,copses
886,Introductions to The Sun Also Rises once read to the Romanov children,tsar
887,Brief respites.,lulls
888,Trample on auxiliary control,over ride
889,Kind of steer or rap ,bum
890,Novel,new
891,Memorable lion ,Bert Lahr
892,Attorney-to-be's major,prelaw
893,Drat! ,egad
894,Beef cuts named for a New York restaurateur,delmonicosteaks
895,Does an unflattering portrayal of,mocks
896,"Himalayan ""Monsters, Inc."" character",yet i
897,It might have a stirring part,recipe
898,Extremely merry on organ? I strongly disagree,my eye
899,Baby kangaroo living on a Pacific island nation (wordplay),Palau Joey
900,Yell,roar
901,"Phantom, unstable particles lacking nucleus",spectral
902,Ravel's measure of pace,knot
903,Skating group. ,nsa
904,"With 23-Down, movie with a song about a great swami in delicate health who has toughened feet and chronic bad breath? (See 1-, 6-, 18-, 24-, 57-, and 65-Across)",Mary
905,Three-storied Biblical vessel,ark
906,Restraining order (wordplay),stop it
907,Sarcastic statement of sympathy,boohoo
908,Dealer lead-in,Wheeler
909,17th century Puritan.,cromwell
910,"Stephen Strasburg, for example",nat
911,Tune,ditty
912,Bette of All About Eve,Davis
913,Sponsor of NASCAR's Meijer 300 race,oreo
914,"""What's more""",and
915,Cyclone's most dangerous part,eyewall
916,"""Parsley, ___, rosemary ... """,sage
917,"Part of Act 4 of ""Antony and Cleopatra"" in which Antony attempts suicide",scene xiv
918,Central rule can break down,nuclear
919,Bluish printer color,cyan
920,Competition for threeyearolds,Derby
921,Disney's Darby ___ and the Little People,Ogill
922,"70's TV ""___ Sharkey""",CPO
923,Mattel reports on Barbie's success,its beyond ourken
924,"Muffles, as sounds",deadens
925,Begun old novel in club,bludgeon
926,Sights at many interstate exits,inns
927,Relative of Helga,Oleg
928,Indianapolis-to-Cincinnati dir.,ese
929,Color on the Irish flag,orange
930,Chilled ,iced
931,Streetwalker,hooker
932,The Coasters' longtime record label,at co
933,"""___ Again."" ",destryrides
934,California tourist attraction,napa
935,Tiny amount of makeup,DAB
936,Japanese athlete,sumo wrestler
937,Flier relative,leaflet
938,Corn meal cakes.,pones
939,___ ghanouj (Middle Eastern salad) ,baba
940,Mineral hardness scale inventor Friedrich,mohs
941,Certain scholarly person,bibliographer
942,"Consternation, discouragement",dismay
943,"Battle site: Nov. 25, 1863",missionary ridge
944,inlaw,niece
945,Line that GM is phasing out,olds
946,Secreting internally.,endocrine
947,Wheel shaft.,axle
948,Georgia-Florida lake,Seminole
949,Net receipt,email
950,Gripe on and on,NAG
951,Damper yield now and then ___ it's a time for showers,April
952,Avid,at hirst
953,Caught in a misdeed,detected
954,"With 43-Across, fraternal order",the
955,Wrap ones brain around,grasp
956,Reed section,marsh
957,"Electrical or mechanical unit in gas line (4,4)",fuel pump
958,Feline saying,me w
959,Starts operations,opens
960,Part of one's net worth,asset
961,Spectres,reinspects
962,See blurb (nonverbal),same
963,Cinema's Anouk,aimee
964,Ancient sun god. ,a mon
965,Volcano feature,rim
966,It's in South Africa,Lesotho
967,Relative of the jitney. ,cab
968,"""Suzanne"" songwriter",cohen
969,"Armstrong's ""___ Jimmy Valentine"" ",Ali as
970,"Oozma ___ (""Monsters University"" frat)",kappa
971,"""___ My Line?"" ",what s
972,"Chunk, in Chelsea ",wodge
973,Slight depression (in the skin),dimple
974,Word with eight or fast,ball
975,Traveller in London's Tube,brit
976,Crop,trim
977,Burning fragrance,incense
978,"The Knicks play there, for short",msg
979,It preceds la vie or la guerre,cest
980,Candy.,sweets
981,Herring's kin,Alewife
982,___ are born great . . . : Shakespeare,some
983,Future tales,Scifi
984,___ of Avon (Shakespeare),bard
985,Untrustworthy ones,snakes
986,"Grandly decree no raid, perhaps",ordain
987,Tin star wearer,lawman
988,"Like many proverbs, for short",an on
989,Polaroid competitor,Kodak
990,Hayworth of films,Rita
991,Zonked,asleep
992,Art Deco's other name,moderne
993,Erstwhile boarder in Baker Street. ,Watson
994,Parabola shapes,arcs
995,Rockwell and others. ,kents
996,"""Not to mention ...""",also
997,Treasure or Long,is land
998,Like gambling in Nevada,legalized
